,symbol,year,month,change,mspr,ticker
0,GIFI,2019.0,2.0,-40373.0,-100.0,GIFI
1,GIFI,2019.0,4.0,1125.0,42.857143,GIFI
2,GIFI,2019.0,5.0,41371.0,91.68901,GIFI
3,GIFI,2019.0,9.0,-5059.0,-100.0,GIFI
4,GIFI,2019.0,11.0,657120.0,100.0,GIFI
5,GIFI,2019.0,12.0,27064.0,100.0,GIFI
6,GIFI,2020.0,4.0,0.0,0.0,GIFI
7,GIFI,2021.0,2.0,-2226.0,-100.0,GIFI
8,GIFI,2021.0,3.0,-12472.0,-100.0,GIFI
9,GIFI,2022.0,3.0,166181.0,90.40469,GIFI
10,GIFI,2022.0,4.0,180000.0,100.0,GIFI
11,GIFI,2022.0,5.0,-17598.0,-100.0,GIFI
12,GIFI,2022.0,6.0,43600.0,100.0,GIFI
13,GIFI,2022.0,8.0,7000.0,100.0,GIFI
14,GIFI,2022.0,11.0,-10117.0,-100.0,GIFI
15,GIFI,2022.0,12.0,-11382.0,-100.0,GIFI
16,GIFI,2023.0,2.0,207000.0,100.0,GIFI
17,GIFI,2023.0,3.0,-41172.0,-100.0,GIFI
18,GIFI,2023.0,4.0,-40726.0,-100.0,GIFI
19,GIFI,2023.0,5.0,192019.0,70.808426,GIFI
20,GIFI,2023.0,6.0,0.0,0.0,GIFI
21,GIFI,2023.0,11.0,10000.0,100.0,GIFI
22,GIFI,2024.0,2.0,250380.0,100.0,GIFI
23,GIFI,2024.0,4.0,-20816.0,-26.36739,GIFI
24,GIFI,2024.0,5.0,-103478.0,-54.26845,GIFI
0,KF,2023.0,9.0,500.0,100.0,KF
0,ENS,2019.0,1.0,1881.0,100.0,ENS
1,ENS,2019.0,2.0,-24039.0,-100.0,ENS
2,ENS,2019.0,9.0,1457.0,100.0,ENS
3,ENS,2019.0,10.0,2469.0,100.0,ENS
4,ENS,2019.0,11.0,-5750.0,-100.0,ENS
5,ENS,2019.0,12.0,799.0,44.16805,ENS
6,ENS,2020.0,4.0,3353.0,100.0,ENS
7,ENS,2020.0,5.0,-25151.0,-100.0,ENS
8,ENS,2020.0,6.0,-8471.0,-42.720257,ENS
9,ENS,2020.0,7.0,2443.0,100.0,ENS
10,ENS,2020.0,8.0,78994.0,79.91624,ENS
11,ENS,2020.0,9.0,1233.0,100.0,ENS
12,ENS,2020.0,10.0,1520.0,100.0,ENS
13,ENS,2020.0,11.0,1150.0,8.977362,ENS
14,ENS,2020.0,12.0,446.0,30.381472,ENS
15,ENS,2021.0,1.0,2768.0,8.666249,ENS
16,ENS,2021.0,3.0,19665.0,14.508525,ENS
17,ENS,2021.0,4.0,340.0,100.0,ENS
18,ENS,2021.0,5.0,-11815.0,-100.0,ENS
19,ENS,2021.0,6.0,2724.0,10.604173,ENS
20,ENS,2021.0,7.0,1041.0,100.0,ENS
21,ENS,2021.0,8.0,40227.0,26.64128,ENS
22,ENS,2021.0,9.0,1028.0,100.0,ENS
23,ENS,2021.0,10.0,1298.0,100.0,ENS
